Continent,Expenditure,Period
Oceania,1.127400906,B
Africa,0.843309681,B
South America,0.723397752,B
North America,0.944211204,B
Europe,1.1307617,B
Asia,0.759855583,B
Oceania,1.244284562,BTW
Africa,0.940599016,BTW
South America,0.798005833,BTW
North America,1.001438867,BTW
Europe,1.221556851,BTW
Asia,0.735204541,BTW
Oceania,1.361606002,A
Africa,0.820838489,A
South America,0.999318059,A
North America,1.040497558,A
Europe,1.239709184,A
Asia,0.740875363,A
